Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Recursive,2196,1496,15,2500,0.177206,6.157,-1
Breadth First Search - Recursive,1496,796,15,2500,0.184347,4.162,-1
Breadth First Search - Recursive,796,96,15,2500,0.174724,7.424,-1
Breadth First Search - Recursive,96,1897,38,2500,0.185224,19.832,-1
Breadth First Search - Recursive,1897,1197,15,2500,0.170919,3.732,-1
Breadth First Search - Recursive,1197,497,15,2500,0.169852,8.338,-1
Breadth First Search - Recursive,497,2298,38,2500,0.178002,17.704,-1
Breadth First Search - Recursive,2298,1598,15,2500,0.178461,6.961,-1
Breadth First Search - Recursive,1598,898,15,2500,0.187859,6.877,-1
Breadth First Search - Recursive,898,198,15,2500,0.184439,6.08,-1
Breadth First Search - Recursive,198,1999,38,2500,0.174556,16.81,-1
Breadth First Search - Recursive,1999,1299,15,2500,0.187167,5.902,-1
Breadth First Search - Recursive,1299,599,15,2500,0.192703,7.139,-1
Breadth First Search - Recursive,599,2400,38,2500,0.179994,15.596,-1
Breadth First Search - Recursive,2400,1700,15,2500,0.185302,6.898,-1
Breadth First Search - Recursive,1700,1000,15,2500,0.335878,6.503,-1
Breadth First Search - Recursive,1000,300,15,2500,0.192815,6.949,-1
Breadth First Search - Recursive,300,2101,87,2500,0.171044,44.418,-1
Breadth First Search - Recursive,2101,1401,15,2500,0.180236,7.045,-1
Breadth First Search - Recursive,1401,701,15,2500,0.179865,5.167,-1
Breadth First Search - Recursive,701,1,15,2500,0.179195,8.994,-1
Breadth First Search - Recursive,1,1802,38,2500,0.18123,17.597,-1
Breadth First Search - Recursive,1802,1102,15,2500,0.184205,5.38,-1
Breadth First Search - Recursive,1102,402,15,2500,0.173016,7.977,-1
Breadth First Search - Recursive,402,2203,38,2500,0.186253,17.273,-1
Breadth First Search - Recursive,2203,1503,15,2500,0.181301,3.795,-1
Breadth First Search - Recursive,1503,803,15,2500,0.21978,6.622,-1
Breadth First Search - Recursive,803,103,15,2500,0.213247,7.753,-1
Breadth First Search - Recursive,103,1904,38,2500,0.198059,17.402,-1
Breadth First Search - Recursive,1904,1204,15,2500,0.18584,6.514,-1
Breadth First Search - Recursive,1204,504,15,2500,0.182023,5.131,-1
Breadth First Search - Recursive,504,2305,38,2500,0.186153,17.196,-1
Breadth First Search - Recursive,2305,1605,15,2500,0.189383,3.85,-1
