Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Iterative,103,1904,38,891,0.222894,17.533,-1
Breadth First Search - Iterative,1904,1204,15,263,0.200239,7.472,-1
Breadth First Search - Iterative,1204,504,15,267,0.189694,5.131,-1
Breadth First Search - Iterative,504,2305,38,1204,0.218301,15.577,-1
Breadth First Search - Iterative,2305,1605,15,201,0.217378,3.458,-1
Breadth First Search - Iterative,1605,905,15,286,0.201185,8.24,-1
Breadth First Search - Iterative,905,205,15,286,0.232169,6.537,-1
Breadth First Search - Iterative,205,2006,38,1041,0.21759,16.856,-1
Breadth First Search - Iterative,2006,1306,15,287,0.191174,7.431,-1
Breadth First Search - Iterative,1306,606,15,303,0.217704,6.806,-1
Breadth First Search - Iterative,606,2407,38,1354,0.229684,16.339,-1
Breadth First Search - Iterative,2407,1707,15,189,0.188645,2.553,-1
Breadth First Search - Iterative,1707,1007,15,318,0.195962,6.864,-1
Breadth First Search - Iterative,1007,307,15,318,0.198001,6.027,-1
Breadth First Search - Iterative,307,2108,38,1191,0.237184,15.181,-1
Breadth First Search - Iterative,2108,1408,15,295,0.19553,6.881,-1
Breadth First Search - Iterative,1408,708,15,331,0.199049,6.116,-1
Breadth First Search - Iterative,708,8,15,331,0.202033,6.622,-1
Breadth First Search - Iterative,8,1809,38,979,0.222283,17.682,-1
Breadth First Search - Iterative,1809,1109,15,342,0.203018,7.409,-1
Breadth First Search - Iterative,1109,409,15,342,0.203911,7.084,-1
Breadth First Search - Iterative,409,2210,38,1341,0.225377,19.999,-1
Breadth First Search - Iterative,2210,1510,15,287,0.197278,7.768,-1
Breadth First Search - Iterative,1510,810,15,351,0.225955,5.32,-1
Breadth First Search - Iterative,810,110,15,351,0.236926,6.305,-1
Breadth First Search - Iterative,110,1911,38,1129,0.225791,18.342,-1
Breadth First Search - Iterative,1911,1211,15,354,0.203361,9.264,-1
Breadth First Search - Iterative,1211,511,15,358,0.202528,7.403,-1
Breadth First Search - Iterative,511,2312,38,1491,0.222869,18.348,-1
Breadth First Search - Iterative,2312,1612,15,263,0.193734,5.408,-1
Breadth First Search - Recursive,1584,884,15,2500,0.254911,7.021,-1
Breadth First Search - Recursive,884,184,15,2500,0.254095,5.616,-1
Breadth First Search - Recursive,184,1985,38,2500,0.253285,19.629,-1
Breadth First Search - Recursive,1985,1285,15,2500,0.30782,4.797,-1
Breadth First Search - Recursive,1285,585,15,2500,0.243089,5.387,-1
Breadth First Search - Recursive,585,2386,38,2500,0.250711,17.294,-1
Breadth First Search - Recursive,2386,1686,15,2500,0.998052,6.293,-1
Breadth First Search - Recursive,1686,986,15,2500,0.671716,6.929,-1
Breadth First Search - Recursive,986,286,15,2500,1.051225,7.329,-1
Breadth First Search - Recursive,286,2087,38,2500,0.288723,19.063,-1
Breadth First Search - Recursive,2087,1387,15,2500,0.259882,8.049,-1
Breadth First Search - Recursive,1387,687,15,2500,0.234561,4.842,-1
Breadth First Search - Recursive,687,2488,38,2500,0.510357,14.009,-1
Breadth First Search - Recursive,2488,1788,15,196,0.207938,7.104,-1
Breadth First Search - Recursive,1788,1088,15,2500,0.41221,6.253,-1
Breadth First Search - Recursive,1088,388,15,2500,0.293748,7.872,-1
Breadth First Search - Recursive,388,2189,38,2500,0.301714,15.389,-1
Breadth First Search - Recursive,2189,1489,15,2500,0.270093,5.281,-1
Breadth First Search - Recursive,1489,789,15,2500,0.257565,5.312,-1
Breadth First Search - Recursive,789,89,15,2500,0.260657,6.458,-1
Breadth First Search - Recursive,89,1890,38,2500,0.247051,17.206,-1
Breadth First Search - Recursive,1890,1190,15,2500,0.242667,7.202,-1
Breadth First Search - Recursive,1190,490,15,2500,0.260393,7.665,-1
Breadth First Search - Recursive,490,2291,38,2500,0.255979,15.978,-1
Breadth First Search - Recursive,2291,1591,15,2500,0.24805,4.199,-1
Breadth First Search - Recursive,1591,891,15,2500,0.247109,7.606,-1
Breadth First Search - Recursive,891,191,15,2500,0.274427,7.574,-1
Breadth First Search - Recursive,191,1992,38,2500,0.423777,21.813,-1
Breadth First Search - Recursive,1992,1292,15,2500,0.242435,5.933,-1
Breadth First Search - Recursive,1292,592,15,2500,0.249006,6.646,-1
