Depth First Search - Iterative,2001,1301,15,15,0.165904,7.862000000,-1.000000000
Depth First Search - Iterative,601,2402,64,2404,0.232728,30.760000000,-1.000000000
Depth First Search - Iterative,1702,1002,15,15,0.163946,5.471000000,-1.000000000
Depth First Search - Iterative,302,2103,52,2409,0.225821,23.413000000,-1.000000000
Depth First Search - Iterative,1403,703,15,15,0.171135,6.462000000,-1.000000000
Depth First Search - Iterative,3,1804,38,2428,0.228300,18.523000000,-1.000000000
Depth First Search - Iterative,1104,404,15,15,0.170483,6.265000000,-1.000000000
Depth First Search - Iterative,2205,1505,15,15,0.164806,3.804000000,-1.000000000
Depth First Search - Iterative,805,105,15,15,0.165950,6.843000000,-1.000000000
Depth First Search - Iterative,1906,1206,15,15,0.164564,8.288000000,-1.000000000
Depth First Search - Iterative,506,2307,60,2397,0.218582,-107262463439540776796592199985646769019834926564739147021788491549774112240588375814414994385335227421520254865491888406830031062495572559571469192048672768.000000000,-1.000000000
